,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,Cantagalo,-21.98,-42.37,292.86,97,99,1.01,BR,1605065459
350,Santa Isabel,-23.32,-46.22,294.15,94,75,3.1,BR,1605065401
351,Dāmghān,36.17,54.35,283.12,56,62,0.61,IR,1605065463
352,Emba,48.83,58.14,270.81,94,3,4.45,KZ,1605065463
353,Saint Anthony,45.02,-93.22,271.48,92,90,7.7,US,1605065463
354,Nguru,12.88,10.45,293.23,34,40,4.07,NG,1605065464
355,Uruçuí,-7.23,-44.56,298.99,64,39,0.89,BR,1605065465
356,Maniwaki,46.38,-75.97,290.15,67,100,2.6,CA,1605065365
357,Sibolga,1.74,98.78,303.99,61,81,2.09,ID,1605065465
358,Faranah,10.04,-10.74,292.87,74,0,0.48,GN,1605065466
359,Emerald,-23.53,148.17,303.15,26,0,2.6,AU,1605065460
360,Ostrovnoy,68.05,39.51,274.43,90,100,6.06,RU,1605065466
361,Norman Wells,65.28,-126.83,251.15,83,40,2.6,CA,1605065466
362,Barretos,-20.56,-48.57,295.94,72,82,0.94,BR,1605065467
363,Pulwama,33.87,74.9,285.65,34,3,0.48,IN,1605065467
364,Yulara,-25.24,130.99,307.15,9,0,3.1,AU,1605065467
365,Padang,-0.95,100.35,303.29,63,90,2.37,ID,1605065467
366,Mount Gambier,-37.83,140.77,294.15,49,75,5.7,AU,1605065468
367,Andrelândia,-21.74,-44.31,291.52,90,100,0.95,BR,1605065468
